"","pair","TimeDays","mcluster","hcluster","fed"
"34","ERR1315244_casper-ERR1310114_casper",27,2,1,"humanfood"
"35","ERR1315244_casper-ERR1310115_casper",34,2,1,"humanfood"
"36","ERR1315244_casper-ERR1310116_casper",14,2,1,"humanfood"
"37","ERR1315244_casper-ERR1310117_casper",18,2,1,"humanfood"
"38","ERR1315244_casper-ERR1310118_casper",24,2,1,"humanfood"
"39","ERR1315244_casper-ERR1310119_casper",27,2,1,"humanfood"
"40","ERR1315244_casper-ERR1310120_casper",34,2,1,"humanfood"
"41","ERR1315244_casper-ERR1310121_casper",18,2,1,"humanfood"
"42","ERR1315244_casper-ERR1310122_casper",14,2,1,"humanfood"
"43","ERR1315244_casper-ERR1310123_casper",24,2,1,"humanfood"
"44","ERR1315244_casper-ERR1310124_casper",27,2,1,"humanfood"
"45","ERR1315244_casper-ERR1310125_casper",34,2,1,"humanfood"
"46","ERR1314472_casper-ERR1310126_casper",14,1,1,"humanfood"
"47","ERR1314472_casper-ERR1310127_casper",18,1,1,"humanfood"
"48","ERR1314472_casper-ERR1310128_casper",24,1,1,"humanfood"
"49","ERR1314472_casper-ERR1310129_casper",27,1,1,"humanfood"
"50","ERR1314472_casper-ERR1310130_casper",34,1,1,"humanfood"
"51","ERR1314472_casper-ERR1310131_casper",14,1,1,"humanfood"
"52","ERR1314472_casper-ERR1310132_casper",18,1,1,"humanfood"
"53","ERR1314472_casper-ERR1310133_casper",24,1,1,"humanfood"
"54","ERR1314472_casper-ERR1310134_casper",27,1,1,"humanfood"
"55","ERR1314472_casper-ERR1310135_casper",34,1,1,"humanfood"
"56","ERR1314472_casper-ERR1310136_casper",14,1,1,"humanfood"
"57","ERR1314472_casper-ERR1310137_casper",18,1,1,"humanfood"
"58","ERR1314472_casper-ERR1310138_casper",24,1,1,"humanfood"
"59","ERR1314472_casper-ERR1310139_casper",27,1,1,"humanfood"
"60","ERR1314472_casper-ERR1310140_casper",34,1,1,"humanfood"
"61","ERR1314472_casper-ERR1310141_casper",14,1,1,"humanfood"
"62","ERR1314472_casper-ERR1310142_casper",24,1,1,"humanfood"
"63","ERR1314472_casper-ERR1310143_casper",18,1,1,"humanfood"
"64","ERR1314472_casper-ERR1310144_casper",27,1,1,"humanfood"
"65","ERR1314472_casper-ERR1310145_casper",34,1,1,"humanfood"
"66","ERR1314472_casper-ERR1310146_casper",14,1,1,"humanfood"
"67","ERR1314472_casper-ERR1310147_casper",18,1,1,"humanfood"
"68","ERR1314472_casper-ERR1310148_casper",24,1,1,"humanfood"
"69","ERR1314472_casper-ERR1310149_casper",27,1,1,"humanfood"
"70","ERR1314472_casper-ERR1310150_casper",34,1,1,"humanfood"
"71","ERR1315245_casper-ERR1310151_casper",14,2,1,"humanfood"
"72","ERR1315245_casper-ERR1310152_casper",18,2,1,"humanfood"
"73","ERR1315245_casper-ERR1310153_casper",24,2,1,"humanfood"
"74","ERR1315245_casper-ERR1310154_casper",27,2,1,"humanfood"
"75","ERR1315245_casper-ERR1310155_casper",34,1,1,"humanfood"
"76","ERR1315245_casper-ERR1310156_casper",14,2,1,"humanfood"
"77","ERR1315245_casper-ERR1310157_casper",18,2,1,"humanfood"
"78","ERR1315245_casper-ERR1310158_casper",24,2,1,"humanfood"
"79","ERR1315245_casper-ERR1310159_casper",27,2,1,"humanfood"
"80","ERR1315245_casper-ERR1310160_casper",34,1,1,"humanfood"
"81","ERR1315245_casper-ERR1310161_casper",14,2,1,"humanfood"
"82","ERR1315245_casper-ERR1310162_casper",18,2,1,"humanfood"
"83","ERR1315245_casper-ERR1310163_casper",24,2,1,"humanfood"
"84","ERR1315245_casper-ERR1310164_casper",27,2,1,"humanfood"
"85","ERR1315245_casper-ERR1310165_casper",34,2,1,"humanfood"
"86","ERR1315245_casper-ERR1310166_casper",14,2,1,"humanfood"
"87","ERR1315245_casper-ERR1310167_casper",18,2,1,"humanfood"
"88","ERR1315245_casper-ERR1310168_casper",24,2,1,"humanfood"
