Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1762953 ,1121.CH.Mfec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d78,,1121.CH.Mfec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d78
ERR1762954 ,1122.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d40,,1122.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d40
ERR1762955 ,1123.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d42,,1123.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d42
ERR1762956 ,1124.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d45,,1124.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d45
ERR1762957 ,1125.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d48,,1125.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d48
ERR1762958 ,1126.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d52,,1126.CH.Mfec.CRON5.M4.Cohousing1.CRONdiet.Restricted.d52
ERR1762959 ,1127.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d54,,1127.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d54
ERR1762960 ,1128.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d56,,1128.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d56
ERR1762961 ,1129.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d59,,1129.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d59
ERR1762963 ,1130.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d62,,1130.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d62
ERR1762964 ,1131.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d66; mouse gut metagenome,,1131.CH.Mfec.CRON5.M4.Cohousing2.CRONdiet.Restricted.d66; mouse gut metagenome
ERR1762965 ,1132.CH.Mfec.CRON5.M4.Diet1.CRONdiet.Restricted.d10,,1132.CH.Mfec.CRON5.M4.Diet1.CRONdiet.Restricted.d10
ERR1762966 ,1133.CH.Mfec.CRON5.M4.Diet1.CRONdiet.Restricted.d2,,1133.CH.Mfec.CRON5.M4.Diet1.CRONdiet.Restricted.d2
ERR1762967 ,1134.CH.Mfec.CRON5.M4.Diet1.CRONdiet.Restricted.d4; mouse gut metagenome,,1134.CH.Mfec.CRON5.M4.Diet1.CRONdiet.Restricted.d4; mouse gut metagenome
ERR1762968 ,1135.CH.Mfec.CRON5.M4.Diet1.CRONdiet.Restricted.d6; mouse gut metagenome,,1135.CH.Mfec.CRON5.M4.Diet1.CRONdiet.Restricted.d6; mouse gut metagenome
ERR1762969 ,1136.CH.Mfec.CRON5.M4.Diet2.AMERdiet.AdLib.d13,,1136.CH.Mfec.CRON5.M4.Diet2.AMERdiet.AdLib.d13
ERR1762970 ,1137.CH.Mfec.CRON5.M4.Diet2.AMERdiet.AdLib.d15; mouse gut metagenome,,1137.CH.Mfec.CRON5.M4.Diet2.AMERdiet.AdLib.d15; mouse gut metagenome
ERR1762971 ,1138.CH.Mfec.CRON5.M4.Diet2.AMERdiet.AdLib.d17,,1138.CH.Mfec.CRON5.M4.Diet2.AMERdiet.AdLib.d17
ERR1762972 ,1139.CH.Mfec.CRON5.M4.Diet2.AMERdiet.AdLib.d20,,1139.CH.Mfec.CRON5.M4.Diet2.AMERdiet.AdLib.d20
ERR1762974 ,1140.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d23,,1140.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d23
ERR1762975 ,1141.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d25; mouse gut metagenome,,1141.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d25; mouse gut metagenome
ERR1762976 ,1142.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d27,,1142.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d27
ERR1762977 ,1143.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d29,,1143.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d29
ERR1762978 ,1144.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d31,,1144.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d31
ERR1762979 ,1145.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d38,,1145.CH.Mfec.CRON5.M4.CRONdiet.CRONdiet.Restricted.d38
ERR1762980 ,1146.CH.Mfec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d69,,1146.CH.Mfec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d69
ERR1762981 ,1147.CH.Mfec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome,,1147.CH.Mfec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome
ERR1762982 ,1148.CH.Mfec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d73,,1148.CH.Mfec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d73
ERR1762983 ,1149.CH.Mfec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d78; mouse gut metagenome,,1149.CH.Mfec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d78; mouse gut metagenome
ERR1762985 ,1150.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d40; mouse gut metagenome,,1150.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d40; mouse gut metagenome
ERR1762986 ,1151.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d42,,1151.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d42
ERR1762987 ,1152.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d45,,1152.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d45
ERR1762988 ,1153.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d48; mouse gut metagenome,,1153.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d48; mouse gut metagenome
ERR1762989 ,1154.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d52,,1154.CH.Mfec.CRON5.M5.Cohousing1.CRONdiet.Restricted.d52
ERR1762990 ,1155.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d54; mouse gut metagenome,,1155.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d54; mouse gut metagenome
ERR1762991 ,1156.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d56,,1156.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d56
ERR1762992 ,1157.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d59,,1157.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d59
ERR1762993 ,1158.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d62,,1158.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d62
ERR1762994 ,1159.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d66; mouse gut metagenome,,1159.CH.Mfec.CRON5.M5.Cohousing2.CRONdiet.Restricted.d66; mouse gut metagenome
ERR1762996 ,1160.CH.Mfec.CRON5.M5.Diet1.CRONdiet.Restricted.d10; mouse gut metagenome,,1160.CH.Mfec.CRON5.M5.Diet1.CRONdiet.Restricted.d10; mouse gut metagenome
ERR1762997 ,1161.CH.Mfec.CRON5.M5.Diet1.CRONdiet.Restricted.d2,,1161.CH.Mfec.CRON5.M5.Diet1.CRONdiet.Restricted.d2
ERR1762998 ,1162.CH.Mfec.CRON5.M5.Diet1.CRONdiet.Restricted.d4,,1162.CH.Mfec.CRON5.M5.Diet1.CRONdiet.Restricted.d4
ERR1762999 ,1163.CH.Mfec.CRON5.M5.Diet1.CRONdiet.Restricted.d6,,1163.CH.Mfec.CRON5.M5.Diet1.CRONdiet.Restricted.d6
ERR1763000 ,1164.CH.Mfec.CRON5.M5.Diet2.AMERdiet.AdLib.d13,,1164.CH.Mfec.CRON5.M5.Diet2.AMERdiet.AdLib.d13
ERR1763001 ,1165.CH.Mfec.CRON5.M5.Diet2.AMERdiet.AdLib.d15; mouse gut metagenome,,1165.CH.Mfec.CRON5.M5.Diet2.AMERdiet.AdLib.d15; mouse gut metagenome
ERR1763002 ,1166.CH.Mfec.CRON5.M5.Diet2.AMERdiet.AdLib.d17,,1166.CH.Mfec.CRON5.M5.Diet2.AMERdiet.AdLib.d17
ERR1763003 ,1167.CH.Mfec.CRON5.M5.Diet2.AMERdiet.AdLib.d20,,1167.CH.Mfec.CRON5.M5.Diet2.AMERdiet.AdLib.d20
ERR1763004 ,1168.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d23,,1168.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d23
ERR1763005 ,1169.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d25,,1169.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d25
ERR1763007 ,1170.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d27,,1170.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d27
ERR1763008 ,1171.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d29; mouse gut metagenome,,1171.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d29; mouse gut metagenome
ERR1763009 ,1172.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d31,,1172.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d31
ERR1763010 ,1173.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d38,,1173.CH.Mfec.CRON5.M5.CRONdiet.CRONdiet.Restricted.d38
ERR1763011 ,1174.CH.Mfec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome,,1174.CH.Mfec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome
ERR1763012 ,1175.CH.Mfec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome,,1175.CH.Mfec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome
ERR1763013 ,1176.CH.Mfec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d73,,1176.CH.Mfec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d73
ERR1763014 ,1177.CH.Mfec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d78; mouse gut metagenome,,1177.CH.Mfec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d78; mouse gut metagenome
ERR1763015 ,1178.CH.Mcec.AMER5.Control.M1.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome,,1178.CH.Mcec.AMER5.Control.M1.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome
ERR1763016 ,1179.CH.Mcec.AMER5.Control.M2.PostCohousing.CRONdiet.Restricted.d79,,1179.CH.Mcec.AMER5.Control.M2.PostCohousing.CRONdiet.Restricted.d79
ERR1763018 ,1180.CH.Mcec.AMER5.Control.M3.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome,,1180.CH.Mcec.AMER5.Control.M3.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome
ERR1763019 ,1181.CH.Mcec.AMER5.Control.M4.PostCohousing.CRONdiet.Restricted.d79,,1181.CH.Mcec.AMER5.Control.M4.PostCohousing.CRONdiet.Restricted.d79
ERR1763020 ,1182.CH.Mcec.AMER5.Control.M5.PostCohousing.CRONdiet.Restricted.d79,,1182.CH.Mcec.AMER5.Control.M5.PostCohousing.CRONdiet.Restricted.d79
