Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1763021 ,1183.CH.Mcec.CRON1.M1.PostCohousing.CRONdiet.Restricted.d79,,1183.CH.Mcec.CRON1.M1.PostCohousing.CRONdiet.Restricted.d79
ERR1763022 ,1184.CH.Mcec.CRON1.M2.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome,,1184.CH.Mcec.CRON1.M2.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome
ERR1763023 ,1185.CH.Mcec.CRON1.M3.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome,,1185.CH.Mcec.CRON1.M3.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome
ERR1763024 ,1186.CH.Mcec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d79,,1186.CH.Mcec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d79
ERR1763025 ,1187.CH.Mcec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d79,,1187.CH.Mcec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d79
ERR1763026 ,1188.CH.Mcec.AMER5.Target.M1.PostCohousing.CRONdiet.Restricted.d79,,1188.CH.Mcec.AMER5.Target.M1.PostCohousing.CRONdiet.Restricted.d79
ERR1763027 ,1189.CH.Mcec.AMER5.Target.M2.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome,,1189.CH.Mcec.AMER5.Target.M2.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome
ERR1763029 ,1190.CH.Mcec.AMER5.Target.M3.PostCohousing.CRONdiet.Restricted.d79,,1190.CH.Mcec.AMER5.Target.M3.PostCohousing.CRONdiet.Restricted.d79
ERR1763030 ,1191.CH.Mcec.AMER5.Target.M4.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome,,1191.CH.Mcec.AMER5.Target.M4.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome
ERR1763031 ,1192.CH.Mcec.AMER5.Target.M5.PostCohousing.CRONdiet.Restricted.d79,,1192.CH.Mcec.AMER5.Target.M5.PostCohousing.CRONdiet.Restricted.d79
ERR1763032 ,1193.CH.Mcec.CRON5.M1.PostCohousing.CRONdiet.Restricted.d79,,1193.CH.Mcec.CRON5.M1.PostCohousing.CRONdiet.Restricted.d79
ERR1763033 ,1194.CH.Mcec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome,,1194.CH.Mcec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome
ERR1763034 ,1195.CH.Mcec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d79,,1195.CH.Mcec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d79
ERR1763035 ,1196.CH.Mcec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome,,1196.CH.Mcec.CRON5.M4.PostCohousing.CRONdiet.Restricted.d79; mouse gut metagenome
ERR1763036 ,1197.CH.Mcec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d79,,1197.CH.Mcec.CRON5.M5.PostCohousing.CRONdiet.Restricted.d79
ERR1763185 ,248.MF.Input.CRON1.sample1,,248.MF.Input.CRON1.sample1
ERR1763186 ,249.MF.Input.CRON1.sample2,,249.MF.Input.CRON1.sample2
ERR1763188 ,250.MF.Input.CRON2.sample1,,250.MF.Input.CRON2.sample1
ERR1763189 ,251.MF.Input.CRON2.sample2,,251.MF.Input.CRON2.sample2
ERR1763190 ,252.MF.Input.CRON3.sample1,,252.MF.Input.CRON3.sample1
ERR1763191 ,253.MF.Input.CRON3.sample2; human gut metagenome,,253.MF.Input.CRON3.sample2; human gut metagenome
