"","mouse","condition","fed","Genus","humanPer","mousePer","reduced_pct"
"100","ERR1310096","Infantformula","humanfood","Ruminococcus",3.160718451,11.77584248,1.897505844
"101","ERR1310096","Infantformula","humanfood","Lachnoclostridium",1.522043387,6.683074593,2.134502492
"102","ERR1310096","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,2.177205604,2.43584971
"103","ERR1310096","Infantformula","humanfood","Hespellia",0.944716585,4.676258993,2.307401344
"104","ERR1310096","Infantformula","humanfood","Streptococcus",4.350361558,0.549034457,-2.986166709
"105","ERR1310097","Infantformula","humanfood","Bifidobacterium",13.50011663,0.174672489,-6.272175659
"106","ERR1310097","Infantformula","humanfood","Lachnoclostridium",1.522043387,5.177791641,1.766327426
"107","ERR1310097","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.210230817,1.588654282
"108","ERR1310097","Infantformula","humanfood","Hespellia",0.944716585,2.071116656,1.132455325
"109","ERR1310097","Infantformula","humanfood","Ruminiclostridium",0.507347796,0.187149095,-1.438787003
"110","ERR1310097","Infantformula","humanfood","Ruminococcus",3.160718451,3.056768559,-0.048245206
"111","ERR1310098","Infantformula","humanfood","Hespellia",0.944716585,2.955058486,1.645233193
"112","ERR1310098","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,0.964498256,1.26122259
"113","ERR1310098","Infantformula","humanfood","Ruminococcus",3.160718451,6.279499282,0.990396996
"114","ERR1310098","Infantformula","humanfood","Streptococcus",4.350361558,0.205212395,-4.405945531
"115","ERR1310098","Infantformula","humanfood","Bifidobacterium",13.50011663,0.348861071,-5.274175442
"116","ERR1310098","Infantformula","humanfood","Ruminiclostridium",0.507347796,0.164169916,-1.627785301
"117","ERR1310098","Infantformula","humanfood","Lachnoclostridium",1.522043387,5.294479787,1.798479453
"118","ERR1310099","Infantformula","humanfood","Hespellia",0.944716585,3.557557869,1.912933734
"119","ERR1310099","Infantformula","humanfood","Streptococcus",4.350361558,0.264098182,-4.041989031
"120","ERR1310099","Infantformula","humanfood","Lachnoclostridium",1.522043387,6.229610067,2.033132378
"121","ERR1310099","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,0.683548237,0.76448711
"122","ERR1310099","Infantformula","humanfood","Bifidobacterium",13.50011663,1.102998291,-3.61346941
